state,region,year,total_all_classes_of_crime_in_state,violent_crime_in_state,property_crime_in_state,murder_and_nonnegligent_manslaughter_in_state,rape_in_state,robbery_in_state,aggravated_assault_in_state,burglary_in_state,larceny_theft_in_state,motor_vehicle_theft_in_state,arson_in_state,other_assaults_in_state,forgery_and_counterfeiting_in_state,fraud_in_state,embezzlement_in_state,stolen_property_buying_receiving_possessing_in_state,vandalism_in_state,weapons_carrying_possessing_etc_in_state,prostitution_and_commercialized_vice_in_state,sex_offenses_except_rape_and_prostitution_in_state,drug_abuse_violations_in_state,gambling_in_state,offenses_against_the_family_and_children_in_state,driving_under_the_influence_in_state,liquor_laws_in_state,drunkenness_in_state,disorderly_conduct_in_state,vagrancy_in_state,all_other_offenses_except_traffic_in_state,suspicion_in_state,curfew_and_loitering_law_violations_in_state
California,West,2017,1093363,109117,105757,1499,2561,16942,88115,38094,46602,19501,1560,80248,4440,6903,990,17398,16883,28547,7056,9244,212025,287,227,122961,7079,63278,3530,6773,289622,0,998
Colorado,West,2017,234409,7721,27157,176,442,1203,5900,2389,21737,2766,265,17009,734,2400,126,496,5508,2309,521,471,16626,19,3235,23664,8143,485,7284,596,108846,7,1052
Hawaii,West,2017,35618,1227,3748,36,114,270,807,436,2865,424,23,3837,76,147,11,414,426,247,120,155,2724,156,13,5968,467,0,919,0,14744,2,217
Idaho,West,2017,51686,1441,5192,10,120,70,1241,790,4138,220,44,4513,127,299,43,170,756,276,13,188,8432,0,636,5458,1010,566,1582,15,20826,6,137
Montana,West,2017,30824,1262,4965,19,47,91,1105,275,4401,252,37,4390,106,254,30,98,931,85,9,102,2872,0,253,4344,2023,0,2475,10,6309,0,306
Nevada,West,2017,112004,6506,8946,157,321,1388,4640,2572,5658,671,45,15438,488,1404,201,1681,1365,1885,2532,695,8923,9,702,9470,1950,241,1353,1648,45968,187,412
Oregon,West,2017,124851,3687,17578,65,166,696,2760,1376,14118,1883,201,10263,648,1868,49,587,3976,2077,364,436,15682,0,333,13273,3658,18,6594,22,43299,0,439
Utah,West,2017,104741,2252,14526,48,204,404,1596,882,13064,519,61,7870,746,957,32,1225,2364,896,379,656,17556,4,1426,7980,3570,2672,2201,38,37023,12,356
Washington,West,2017,173344,8472,27055,158,515,1887,5912,4723,20526,1637,169,25114,862,1056,53,3438,5178,1793,650,587,12027,0,359,25392,2018,78,2402,124,56680,6,0
Wyoming,West,2017,27914,612,2374,9,43,31,529,215,1990,130,39,1996,49,158,18,94,492,78,48,107,4612,0,344,3253,1980,2412,810,36,8345,6,90
Illinois,Midwest,2018,86947,5581,14859,416,437,2422,2306,1015,9514,4267,63,16749,127,247,0,84,2696,6798,115,350,17060,706,355,2825,181,0,3987,28,14149,0,50
Indiana,Midwest,2018,125536,7236,14135,184,212,1118,5722,1617,11037,1408,73,10492,968,1434,210,289,1054,2024,204,540,25058,7,912,11890,2824,3261,3177,39,39648,30,104
Kansas,Midwest,2018,32837,387,1005,5,43,15,324,116,802,78,9,1590,58,271,25,120,285,83,1,44,2242,0,152,4554,1971,119,946,0,18984,0,0
Michigan,Midwest,2018,235757,12793,23212,299,970,1190,10334,3034,18770,1201,207,29164,702,3767,1149,2019,2873,4798,216,663,30320,26,2642,26130,4739,284,5724,107,84179,0,250
